Iteration, Key Generation Time (microseconds), Shared Secret Time (microseconds), AES Encryption Time (microseconds), Key Generation Time (microseconds), Shared Secret Time (microseconds), AES Decryption Time (microseconds)
1,3855.943680,25806.188583,722.885132,3855.943680,25806.188583,116.825104
2,3249.168396,9996.175766,69.856644,3249.168396,9996.175766,42.915344
3,3062.009811,10221.958160,68.902969,3062.009811,10221.958160,26.226044
4,3143.072128,10894.060135,53.167343,3143.072128,10894.060135,28.848648
5,3000.736237,10122.060776,58.889389,3000.736237,10122.060776,21.934509
6,2753.019333,8969.783783,45.776367,2753.019333,8969.783783,24.080276
7,2705.097198,9540.081024,55.074692,2705.097198,9540.081024,21.934509
8,2762.079239,9449.005127,53.882599,2762.079239,9449.005127,23.126602
9,2696.990967,9348.154068,53.882599,2696.990967,9348.154068,23.126602
10,2826.929092,8986.949921,67.234039,2826.929092,8986.949921,20.980835
11,2713.918686,9153.127670,51.975250,2713.918686,9153.127670,25.033951
12,2742.052078,9308.099747,46.968460,2742.052078,9308.099747,22.888184
13,2879.142761,9650.945663,48.160553,2879.142761,9650.945663,23.126602
14,2748.727798,9576.082230,44.107437,2748.727798,9576.082230,24.795532
15,2674.818039,9161.949158,49.114227,2674.818039,9161.949158,22.888184
16,2664.804459,9067.058563,49.829483,2664.804459,9067.058563,25.033951
17,2799.034119,9062.051773,56.982040,2799.034119,9062.051773,24.080276
18,2618.074417,9404.897690,61.988831,2618.074417,9404.897690,24.080276
19,2830.743790,9574.174881,49.114227,2830.743790,9574.174881,23.126602
20,2907.037735,9296.894073,50.067902,2907.037735,9296.894073,24.080276
21,2771.139145,9300.947189,48.160553,2771.139145,9300.947189,27.179718
22,2896.308899,9626.150131,71.048737,2896.308899,9626.150131,22.172928
23,2655.029297,9330.987930,53.882599,2655.029297,9330.987930,24.080276
24,2737.045288,9757.995605,45.061111,2737.045288,9757.995605,23.126602
25,2671.003342,9083.986282,50.067902,2671.003342,9083.986282,22.888184
26,2833.843231,9670.734406,59.843063,2833.843231,9670.734406,25.987625
27,2903.938293,9731.054306,49.829483,2903.938293,9731.054306,25.987625
28,3068.208694,9911.775589,54.121017,3068.208694,9911.775589,24.080276
29,3077.983856,9874.105453,71.287155,3077.983856,9874.105453,27.894974
30,3014.802933,10452.032089,80.823898,3014.802933,10452.032089,30.994415
31,3359.079361,11255.025864,59.843063,3359.079361,11255.025864,29.087067
32,3572.940826,11647.939682,75.817108,3572.940826,11647.939682,25.749207
33,3475.904465,11445.045471,71.048737,3475.904465,11445.045471,36.001205
34,3659.009933,11578.798294,55.074692,3659.009933,11578.798294,27.894974
35,3262.996674,10677.814484,61.988831,3262.996674,10677.814484,29.087067
36,3499.031067,11460.065842,102.043152,3499.031067,11460.065842,30.994415
37,3238.916397,16443.252563,55.074692,3238.916397,16443.252563,24.795532
38,2868.890762,9446.859360,52.928925,2868.890762,9446.859360,24.080276
39,2674.818039,9424.924850,48.160553,2674.818039,9424.924850,20.980835
40,2882.957458,9461.164474,46.968460,2882.957458,9461.164474,24.795532
41,2841.234207,9455.919266,58.174133,2841.234207,9455.919266,25.033951
42,2903.938293,9371.995926,53.167343,2903.938293,9371.995926,21.934509
43,2909.898758,9743.213654,58.889389,2909.898758,9743.213654,22.888184
44,2975.225449,9862.899780,45.061111,2975.225449,9862.899780,22.888184
45,2939.939499,9988.784790,43.869019,2939.939499,9988.784790,21.934509
46,2921.819687,9476.184845,49.829483,2921.819687,9476.184845,22.888184
47,2890.110016,9785.175323,53.882599,2890.110016,9785.175323,21.934509
48,2879.858017,9640.932083,378.847122,2879.858017,9640.932083,47.922134
49,5325.078964,9447.097778,69.141388,5325.078964,9447.097778,23.841858
50,2683.162689,9615.898132,74.148178,2683.162689,9615.898132,29.087067
51,2794.027328,9614.706039,45.061111,2794.027328,9614.706039,20.980835
52,3135.919571,9248.971939,46.014786,3135.919571,9248.971939,22.888184
53,2941.846848,9639.024734,87.976456,2941.846848,9639.024734,22.172928
