Iteration,Encapsulation (microseconds),AES256 Encryption (microseconds),Decapsulation (microseconds),AES256 Decryption (microseconds)
1,838,104,2000,9384
2,860,85,1984,194
3,818,82,1759,150
4,858,81,1508,148
5,872,81,1461,149
6,820,82,1460,149
7,819,81,1706,173
8,820,82,1670,177
9,824,81,1672,166
10,818,81,1706,166
11,814,81,1700,165
12,822,81,1672,167
13,817,81,1673,227
14,820,81,1683,165
15,818,82,1708,172
16,820,85,1671,166
17,826,80,1673,217
18,835,81,1723,172
19,820,81,1666,169
20,834,82,1743,167
21,825,82,1740,165
22,823,82,1742,167
23,819,81,1726,165
24,861,81,1679,201
25,846,83,1675,174
26,861,82,1677,172
27,851,81,1673,170
28,820,81,1707,170
29,867,82,1677,171
30,845,81,1668,165
31,844,82,1673,207
32,818,86,1752,165
33,832,82,1699,165
34,818,81,1673,168
35,819,81,1673,166
36,814,86,1678,166
37,821,81,1695,171
38,818,81,1747,166
39,817,81,1710,164
40,819,81,1710,165
41,820,81,1705,166
42,823,81,1671,209
43,815,86,1671,166
44,835,85,1707,164
45,858,82,1743,164
46,819,81,1738,166
47,819,82,1668,175
48,841,86,1708,169
49,818,81,1666,166
50,818,81,1678,206
51,840,82,1671,167
52,820,83,1674,171
53,820,81,1745,162
54,824,82,1672,171
55,824,81,1674,167
56,820,82,1719,170
57,818,81,1668,171
58,821,82,1730,165
59,848,85,1672,166
60,821,82,1678,165
61,825,81,1732,165
62,829,82,1672,172
63,819,82,1758,165
64,815,85,1671,171
65,840,81,1668,170
66,820,81,1669,164
67,820,81,1667,165
68,816,85,1679,166
69,841,82,1666,165
70,821,82,1680,170
71,819,82,1673,163
72,849,85,1681,227
73,822,81,1673,170
74,814,81,1749,169
75,863,85,1669,171
76,817,80,1693,165
77,819,86,1676,165
78,821,82,1668,169
79,815,81,1668,164
80,842,82,1672,164
81,822,81,1668,164
82,818,81,1716,166
83,819,81,1679,164
84,838,81,1667,173
85,856,81,1672,164
86,817,85,1670,164
87,864,81,1670,164
88,851,82,1736,172
89,819,82,1737,165
90,854,81,1668,169
91,847,81,1670,165
92,815,88,1672,164
93,860,82,1678,165
94,818,81,1704,164
95,863,81,1673,164
96,857,81,1733,165
97,825,81,1676,251
98,823,81,1674,170
99,834,81,1676,170
100,859,82,1733,166
101,818,82,1671,219
102,817,81,1764,166
103,821,81,1735,166
104,821,82,1675,165
105,815,82,1741,171
106,823,81,1755,164
107,835,86,1669,172
108,844,82,1668,165
109,850,82,1672,163
110,823,81,1670,213
111,873,82,1707,164
112,820,81,1671,163
113,824,81,1703,162
114,820,82,1717,165
115,818,81,1709,165
116,821,81,1723,166
117,822,85,1745,163
118,847,81,1677,164
119,860,81,1708,163
120,861,82,1678,166
121,850,81,1675,165
122,843,81,1676,170
123,820,82,1679,164
124,823,82,1687,200
125,846,85,1674,165
126,815,85,1712,166
127,824,81,1669,165
128,824,82,1707,163
129,831,82,1672,165
130,821,82,1707,169
131,846,82,1673,164
132,851,82,1726,165
133,825,85,1672,164
134,826,81,1729,165
135,821,82,1668,169
136,862,81,1675,170
137,861,87,1672,171
138,815,86,1677,171
139,846,82,1728,169
140,835,82,1670,249
141,815,84,1740,171
142,819,82,1743,164
143,822,82,1675,167
144,822,81,1740,165
145,819,85,1715,163
146,823,82,1676,165
147,866,80,1670,171
148,844,82,1703,165
149,855,85,1670,166
150,820,82,1671,164
151,820,82,1701,163
152,822,82,1746,165
153,819,86,1675,164
154,818,82,1724,168
155,820,82,1708,165
156,823,81,1668,166
157,818,81,1671,165
158,815,85,1677,165
159,820,82,1700,164
160,846,81,1673,167
161,820,81,1671,164
162,816,86,1704,169
163,852,81,1672,164
164,819,81,1679,163
165,817,83,1667,170
166,819,82,1737,163
167,814,81,1669,172
168,823,82,1669,164
169,855,82,1673,165
170,818,82,1668,171
171,818,83,1709,164
172,860,81,1670,171
173,869,82,1668,169
174,855,81,1673,171
175,814,82,1668,218
176,1406,134,1678,166
177,1445,140,1711,165
178,1399,134,1702,165
179,1454,134,1670,166
180,1463,135,1711,166
181,1408,135,1675,171
182,1396,134,1670,172
183,1445,134,1674,172
184,1446,134,1675,165
185,1425,134,1673,170
186,1457,135,1669,166
187,1407,138,1674,171
188,1440,141,1681,171
189,1446,141,1672,162
190,1404,135,1730,165
191,1428,134,1675,164
192,1408,133,1703,165
193,1401,134,1674,165
194,1461,141,1675,166
195,1449,135,1677,165
196,1402,141,1733,165
197,1399,134,1696,165
198,1462,133,1681,204
199,1403,135,1705,172
200,1401,134,1704,166
201,1402,140,1705,165
202,1464,133,1720,163
203,1407,141,1671,170
204,1462,135,1719,171
205,1407,134,1673,171
206,1453,141,1701,169
207,1406,135,1680,166
208,1401,135,1681,168
209,1441,134,1667,170
210,1454,135,1728,169
211,1461,134,1673,170
212,1454,134,1731,165
213,1409,134,1673,169
214,1450,133,1677,167
215,1407,136,1736,165
216,1399,135,1673,163
217,1444,133,1676,163
218,1401,133,1713,165
219,1440,134,1702,164
220,1433,134,1670,169
221,1461,134,1720,162
222,1408,134,1709,171
223,1399,141,1670,172
224,1441,141,1678,165
225,1456,133,1719,164
226,1402,137,1672,167
227,1401,134,1670,171
228,1412,135,1668,171
229,1450,135,1669,165
230,1437,134,1775,165
231,1431,141,1681,166
232,1458,133,1726,165
233,1402,134,1732,164
234,1451,134,1712,164
235,1453,134,1670,170
236,1405,134,1670,169
237,1462,134,1717,166
238,1399,134,1715,171
239,1421,136,1679,164
240,1460,134,1673,164
241,1464,140,1668,171
242,1413,142,1707,166
243,1468,134,1672,171
244,1451,135,1671,172
245,1402,165,1733,170
246,1405,136,1670,165
247,1417,133,1727,168
248,1425,134,1669,171
249,1404,143,1726,163
250,1425,135,1668,171
251,1403,134,1670,164
252,1464,134,1712,164
253,1462,133,1708,165
254,1418,134,1672,170
255,1442,141,1674,165
256,1403,142,1718,168
257,1471,140,1668,165
258,1449,134,1740,171
259,1397,134,1675,170
260,1403,134,1739,165
261,1266,120,1763,170
262,1277,118,1716,164
263,1230,119,1742,165
264,1234,173,1673,165
265,1399,141,1733,164
266,1458,134,1674,161
267,1399,135,1674,164
268,1411,165,1742,164
269,1453,133,1714,171
270,1399,142,1668,171
271,1466,134,1668,172
272,1403,136,1678,165
273,1470,134,1677,166
274,1403,134,1675,165
275,1402,141,1710,164
276,1410,134,1720,170
277,1401,135,1712,164
278,1404,134,1715,165
279,1406,134,1713,165
280,1431,134,1712,165
281,1434,134,1772,170
282,1428,134,1670,165
283,1411,133,1669,164
284,1401,134,1672,168
285,1405,135,1746,165
286,1465,134,1704,165
287,1399,134,1708,165
288,1407,134,1699,172
289,1400,141,1670,170
290,1462,134,1718,164
291,1399,194,1672,163
292,1404,139,1700,164
293,1404,135,1729,165
294,1415,134,1672,164
295,1470,141,1670,165
296,1428,141,1675,164
297,1444,133,1744,165
298,1409,135,1676,172
299,1465,134,1673,169
300,1450,134,1669,166
301,1402,134,1668,170
302,1408,166,1673,169
303,1429,135,1677,171
304,1398,140,1711,164
305,1406,134,1738,164
306,1405,134,1727,169
307,1401,137,1671,164
308,1444,134,1669,164
309,1400,142,1669,165
310,1450,140,1672,170
311,1441,134,1681,164
312,1431,141,1671,170
313,1402,140,1757,164
314,1401,140,1708,165
315,1457,142,1669,163
316,1435,134,1673,171
317,1405,134,1718,168
318,1405,134,1760,170
319,1410,134,1711,169
320,1399,134,1731,165
321,1419,135,1669,164
322,1405,135,1669,163
323,1399,189,1676,165
324,1434,135,1672,170
325,1401,141,1730,164
326,1456,134,1687,163
327,1449,133,1679,163
328,1404,142,1747,162
329,1400,134,1675,165
330,1416,135,1726,169
331,1401,185,1674,169
332,1412,135,1741,165
333,1401,138,1715,164
334,1466,134,1674,164
335,1408,140,2009,189
336,1692,155,2030,188
337,1692,154,2009,195
338,1689,156,1951,199
339,1496,140,1949,187
340,1399,134,1989,194
341,1399,136,1671,171
342,1403,134,1724,165
343,1398,135,1715,169
344,1459,134,1710,164
345,1434,134,1738,170
346,1411,135,1739,170
347,1431,135,1742,170
348,1410,134,1683,165
349,1428,134,1675,166
350,1442,134,1675,166
351,1414,140,1715,163
352,1463,134,1729,170
353,1435,133,1707,167
354,1423,140,1731,163
355,1400,136,1677,165
356,1428,135,1671,172
357,1467,133,1678,165
358,1441,133,1680,166
359,1403,134,1734,164
360,1403,134,1728,165
361,1429,134,1674,167
362,1441,133,1672,171
363,1449,133,1678,164
364,1447,134,1676,166
365,1400,134,1719,165
366,1406,140,1710,164
367,1399,141,1673,165
368,1409,140,1710,166
369,1404,140,1717,164
370,1406,142,1703,171
371,1461,134,1715,171
372,1402,135,1679,166
373,1413,134,1713,165
374,1400,140,1673,165
375,1454,134,1673,166
376,1408,136,1672,174
377,1400,140,1707,164
378,1409,134,1674,172
379,1431,134,1708,165
380,1398,135,1716,164
381,1403,140,1707,166
382,1399,134,1713,165
383,1397,135,1682,165
384,1402,134,1707,165
385,1401,133,1735,164
386,1399,135,1738,164
387,1407,137,1671,173
388,1448,134,1682,167
389,1469,134,1743,165
390,1408,144,1676,167
391,1407,133,1716,172
392,1401,134,1708,162
393,1402,141,1734,169
394,1457,133,1669,170
395,1449,134,1672,163
396,1407,139,1672,171
397,1406,135,1697,165
398,1406,194,1672,170
399,1408,181,1677,165
400,1452,134,1716,169
401,1406,133,1754,163
402,1410,141,1674,165
403,1460,133,1701,169
404,1413,134,1672,170
405,1408,196,1707,171
406,1398,141,1720,171
407,1448,140,1676,163
408,1400,135,1741,167
409,1413,134,1698,165
410,1437,135,1675,164
411,1413,135,1703,171
412,1398,134,1700,170
413,1405,134,1767,170
414,1444,134,1720,165
415,1422,135,1775,165
416,1447,140,1673,172
417,1475,134,1687,166
418,1442,134,1673,171
419,1409,140,1733,164
420,1407,134,1675,171
421,1444,134,1671,166
422,1443,135,1672,171
423,1454,133,1711,172
424,1406,139,1671,163
425,1407,134,1674,164
426,1402,135,1695,173
427,1403,133,1677,166
428,1400,133,1671,165
429,1399,133,1672,174
430,1472,134,1680,163
431,1435,133,1670,167
432,1441,134,1729,172
433,1460,134,1676,164
434,1449,134,1672,170
435,1440,134,1675,165
436,1432,134,1707,167
437,1407,134,1674,165
438,1446,136,1679,166
439,1403,136,1732,172
440,1406,140,1715,170
441,1407,135,1669,165
442,1472,140,1675,172
443,1411,140,1735,165
444,1422,134,1755,163
445,1398,134,1708,163
446,1409,134,1674,166
447,1397,134,1674,164
448,1409,141,1670,164
449,1460,139,1701,164
450,1398,134,1719,171
451,1400,134,1707,165
452,1414,134,1731,164
453,1402,134,1676,170
454,1453,136,1672,172
455,1398,139,1712,164
456,1395,134,1766,167
457,1435,135,1717,166
458,1404,133,1674,166
459,1446,133,1671,170
460,1411,133,1740,170
461,1461,134,1521,152
462,1406,134,1466,147
463,1448,140,1466,190
464,1409,133,1732,170
465,1486,141,2151,165
466,1482,135,1673,165
467,1544,133,1711,164
468,1408,133,1706,162
469,1480,134,1730,164
470,1400,135,1669,172
471,1408,139,1718,164
472,1407,134,1466,152
473,1414,134,1465,208
474,1404,140,1494,147
475,1399,140,1467,152
476,1459,141,1672,169
