Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
1,157,977406,11697746,27220
2,174,975185,11673910,30192
3,135,976604,11699299,32400
4,130,976222,11688349,29114
5,123,977750,11690571,31335
6,129,977640,11706304,33008
7,130,977558,11708096,33834
8,124,978967,11703499,34036
9,122,973458,11712462,32112
10,123,977632,11712567,32095
11,123,976875,11702504,30925
12,129,975068,11697685,32455
13,129,979237,11710892,32701
14,124,980041,11700287,32941
15,143,980402,11702253,30441
16,124,977859,11706890,32719
17,123,977948,11712204,30334
18,135,976170,11719938,32507
19,130,978718,11705662,31299
20,136,979909,11710115,33636
21,121,978165,11703054,31300
22,122,978302,11705170,32111
23,122,977686,11706497,31405
24,130,975846,11705351,32572
25,122,976647,11697047,33045
26,122,976636,11722384,31582
27,122,975991,11724346,33098
28,129,977018,11710646,32040
29,122,980579,11702106,31826
30,121,977362,11689225,32769
31,122,977776,11688088,32214
32,122,978614,11708532,28853
33,123,978851,11701432,31904
34,135,978996,11710269,32014
35,121,975050,11714245,31550
36,124,976649,11714702,34691
37,122,978576,11711257,28039
38,124,977177,11696807,33192
39,131,977706,11690550,32370
40,120,976756,11694595,30932
41,122,976595,11699147,29243
42,122,978895,11683884,31311
43,123,977345,11699267,33354
44,122,981002,11695443,32632
45,122,978251,11705702,31984
46,122,978726,11707929,27866
47,134,975808,11702344,33150
48,122,977859,11701359,31886
49,123,975801,11689622,31597
50,122,976969,11698537,32297
51,123,974345,11702042,32006
52,123,977955,11704943,32287
53,123,979033,11705338,32098
54,124,977023,11695749,32048
55,137,977516,11698443,31486
56,122,978452,11710079,32724
57,122,973839,11710910,32763
58,122,978313,11690433,27095
59,123,973657,11694289,32532
60,121,975089,11703850,27669
61,122,975996,11709911,28664
62,124,975432,11697525,31501
63,118,973799,11709726,31335
64,117,979271,11727314,31940
65,128,976461,11716059,31727
66,130,978764,11701938,30795
67,122,975566,11699420,32266
68,125,976807,11698954,31768
69,137,976529,11701637,31793
70,123,975621,11702592,32588
71,146,978332,11697373,32748
72,131,980822,11677957,32270
73,171,978679,11704295,32329
74,122,976388,11717225,33205
75,121,974152,11703203,31429
76,168,976670,11720820,32638
77,121,975574,11689414,32096
78,130,974392,11703031,29971
79,131,979863,11709354,32340
80,127,986630,11710477,30518
81,124,975191,11690512,32594
82,128,975729,11715060,30263
83,121,979522,11690891,32583
84,122,976996,11703622,31168
85,181,979576,11704804,31461
86,123,976676,11689060,32112
87,133,978087,11709066,32981
88,135,978255,11713236,27396
89,135,976806,11696173,32872
90,126,975772,11703076,31469
91,127,977920,11699838,32222
92,122,975258,11704829,37754
93,124,978908,11702667,32722
94,130,979248,11706847,27197
95,134,982269,11703049,32496
96,171,977467,11702313,32653
97,122,981670,11693825,27065
98,121,977025,11690859,29499
99,124,975490,11693014,32409
100,127,976719,11687456,31416
101,122,973634,11682941,31512
102,162,976879,11711779,27875
103,117,978084,11709289,33848
104,117,974284,11713901,31035
105,116,979447,11700367,31677
106,182,975327,11703658,33389
107,122,977229,11705477,31547
108,130,976805,11714994,32115
109,123,980703,11702490,30787
110,122,976306,11696892,26858
111,135,981797,11690327,28063
112,130,976650,11714838,31947
113,122,975536,11722663,30244
114,122,978229,11708096,32240
115,122,975043,11715631,31725
116,133,975971,11714537,31773
117,137,975592,11716253,31329
118,122,977507,11716283,32406
119,124,975718,11719995,31775
120,122,977062,11706541,32544
121,121,979717,11720975,31255
122,123,977016,11702277,30851
123,134,979515,11706410,33853
124,123,973060,11713671,32514
125,128,978107,11695078,27297
126,135,975992,11712492,33810
127,131,975558,11702590,33253
128,128,975328,11700117,32928
129,124,977008,11713495,34332
130,127,979872,11699218,32658
131,121,976555,11704380,28414
132,129,975367,11724038,33455
133,123,974641,11701521,32633
134,135,974878,11707379,32099
135,135,976332,11703656,30789
